mode,severity,corruption,seed,acc,ece
sicl_isocal,1,zoom_blur,2,90.59,2.349122558832169
eata,1,zoom_blur,2,90.11,5.637704115211964
sar,1,zoom_blur,2,89.64,5.189005553275347
source,1,snow,0,86.88,7.498328164219855
tent,1,snow,0,88.01,7.700874790847301
tent_temp,1,snow,0,88.3,3.9035240136086937
sicl,1,snow,0,88.36,4.680938315093518
cgt_isocal,1,snow,0,88.21,6.397676620185376
sicl_isocal,1,snow,0,88.450005,3.397387148290873
eata,1,snow,0,87.34,7.585799230188131
sar,1,snow,0,86.18,7.644877160936595
source,1,snow,1,86.88,7.4983280667662635
tent,1,snow,1,88.31,7.4013482114672655
tent_temp,1,snow,1,88.1,4.179375665485859
sicl,1,snow,1,88.36,4.572967039644718
cgt_isocal,1,snow,1,87.91,6.643324120640755
sicl_isocal,1,snow,1,88.17,2.867992121875286
eata,1,snow,1,87.76,7.137197405695915
sar,1,snow,1,86.34,7.327783353179693
source,1,snow,2,86.88,7.498326717615128
tent,1,snow,2,88.380005,7.3788985575735575
tent_temp,1,snow,2,87.8,4.424444195926189
sicl,1,snow,2,88.24,4.566564456224442
cgt_isocal,1,snow,2,88.32,6.46694963157177
sicl_isocal,1,snow,2,88.340004,3.2580877755582325
eata,1,snow,2,87.3,7.691968237161636
sar,1,snow,2,86.11,7.549361057579517
source,1,frost,0,87.53,6.55665138155222
tent,1,frost,0,89.32,6.670859445035457
tent_temp,1,frost,0,88.82,3.5932234045863156
sicl,1,frost,0,89.26,4.44297036498785
cgt_isocal,1,frost,0,89.020004,6.058149579465388
sicl_isocal,1,frost,0,89.41,3.1013111501932142
eata,1,frost,0,88.61,6.4755873310565955
sar,1,frost,0,87.88,5.982926083654165
source,1,frost,1,87.53,6.556651468873024
tent,1,frost,1,89.18,6.7437967155873775
tent_temp,1,frost,1,89.01,3.515532845556736
sicl,1,frost,1,89.64,4.072656228840351
cgt_isocal,1,frost,1,89.15,6.026109810471534
sicl_isocal,1,frost,1,89.36,2.400177833288908
eata,1,frost,1,88.68,6.437580955475569
sar,1,frost,1,87.91,5.735391176491976
source,1,frost,2,87.53,6.556651293337346
tent,1,frost,2,89.69,6.242438021749257
tent_temp,1,frost,2,89.26,3.2890742221474643
sicl,1,frost,2,89.520004,4.165780773460866
cgt_isocal,1,frost,2,89.3,6.2669181022048
sicl_isocal,1,frost,2,89.270004,2.39424818366766
eata,1,frost,2,88.73,6.395131766796111
sar,1,frost,2,87.56,6.193134866803884
source,1,fog,0,92.52,3.8790866708755494
tent,1,fog,0,92.24,4.822234092354774
tent_temp,1,fog,0,92.1,2.0675811506807804
sicl,1,fog,0,92.049995,3.8051571920514107
cgt_isocal,1,fog,0,92.21,4.677620876729488
sicl_isocal,1,fog,0,92.07,2.1514039184898137
eata,1,fog,0,91.689995,4.6146680665016175
sar,1,fog,0,91.049995,4.410258714854717
source,1,fog,1,92.52,3.879096972942353
tent,1,fog,1,92.229996,4.816591242700816
tent_temp,1,fog,1,91.9,2.3659305600821976
sicl,1,fog,1,92.18,3.0960923187434677
cgt_isocal,1,fog,1,91.79,5.099165727496147
sicl_isocal,1,fog,1,92.11,2.099050764143467
eata,1,fog,1,91.82,4.680962008833886
sar,1,fog,1,91.18,4.286652278602124
source,1,fog,2,92.52,3.87909717142582
tent,1,fog,2,92.02,4.957062287330627
tent_temp,1,fog,2,92.159996,2.1172852545976637
sicl,1,fog,2,92.1,3.618907662630081
cgt_isocal,1,fog,2,92.21,4.822455087602139
sicl_isocal,1,fog,2,91.939995,1.9699458096921445
eata,1,fog,2,91.78,4.621620268374682
sar,1,fog,2,91.17,4.262993225157261
source,1,brightness,0,93.03,3.5837146446108816
tent,1,brightness,0,92.22,4.780316476672888
tent_temp,1,brightness,0,92.17,2.1489456042647364
sicl,1,brightness,0,92.28,3.5237507602572435
cgt_isocal,1,brightness,0,92.27,4.545655757188797
sicl_isocal,1,brightness,0,92.189995,1.7130669610202314
eata,1,brightness,0,91.78,4.609001230299473
sar,1,brightness,0,91.04,4.4965530285239215
source,1,brightness,1,93.03,3.58371458798647
tent,1,brightness,1,91.92,5.080657598376274
tent_temp,1,brightness,1,92.27,1.9672639267146588
sicl,1,brightness,1,92.21,3.4464076060056694
cgt_isocal,1,brightness,1,92.25,4.610314462780953
sicl_isocal,1,brightness,1,91.979996,1.5282460057735443
eata,1,brightness,1,91.81,4.571882012188435
sar,1,brightness,1,91.21,4.320652045011521
source,1,brightness,2,93.03,3.5837144967913623
tent,1,brightness,2,91.88,5.106804324686527
tent_temp,1,brightness,2,92.119995,2.2810505481064323
sicl,1,brightness,2,92.07,3.385470556914806
cgt_isocal,1,brightness,2,92.21,4.797783055007458
sicl_isocal,1,brightness,2,92.369995,2.205903268828988
eata,1,brightness,2,91.85,4.559951372742653
sar,1,brightness,2,91.08,4.469937157481908
source,1,contrast,0,91.92,4.1954713945090765
tent,1,contrast,0,91.759995,5.094083196818828
tent_temp,1,contrast,0,92.009995,2.1429119288921354
sicl,1,contrast,0,91.869995,3.7503106036782268
cgt_isocal,1,contrast,0,91.84,4.75432671636343
sicl_isocal,1,contrast,0,91.979996,2.063497393354773
eata,1,contrast,0,91.54,4.587100324481725
sar,1,contrast,0,90.72,4.41241027891636
source,1,contrast,1,91.92,4.195466381758452
tent,1,contrast,1,91.6,5.24685787409544
tent_temp,1,contrast,1,91.88,2.2319449481368063
sicl,1,contrast,1,91.82,3.567500124275684
cgt_isocal,1,contrast,1,91.799995,5.170849889814853
sicl_isocal,1,contrast,1,91.99,1.9744742041826246
eata,1,contrast,1,91.59,4.639557151198388
